year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2044,VA_US,7.0,10.059,10,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2045,VA_US,7.0,10.253,10,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2046,VA_US,7.0,10.45,10,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2047,VA_US,7.0,10.652,11,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2048,VA_US,7.0,10.857,11,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2049,VA_US,7.0,11.066,11,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2050,VA_US,7.0,11.279,11,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2051,VA_US,7.0,11.895,12,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2052,VA_US,7.0,12.544,13,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2053,VA_US,7.0,13.229,13,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2054,VA_US,7.0,13.95,14,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2055,VA_US,7.0,14.71,15,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2056,VA_US,7.0,15.512,16,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2057,VA_US,7.0,16.356,16,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2058,VA_US,7.0,17.246,17,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2059,VA_US,7.0,18.184,18,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2060,VA_US,7.0,19.172,19,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2061,VA_US,7.0,20.214,20,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2062,VA_US,7.0,21.311,21,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
